"species","IPSS","IPSV"
"Melosira varians",4,1
"Melosira varians",4,1
"Ulnaria ulna",3,1
"Navicula tripunctata",4.4,2
"Navicula lanceolata",3.8,1
"Eolimna subminuscula",2,1
"Nitzschia frustulum",2,1
"Ulnaria ulna",3,1
"Gomphoneis minuta",3.8,3
"Gomphonema parvulum",2,1
"Encyonema silesiacum",5,2
"Navicula lanceolata",3.8,1
"Diatoma tenuis",3,1
"Navicula cryptotenella",4,1
"Gomphonema parvulum",2,1
"Reimeria sinuata",4.8,1
"Gomphoneis minuta",3.8,3
"Achnanthidium minutissimum",5,1
"Frustulia erifuga",4.8,3
"Nitzschia cf. pusilla",NA,NA
"Hydrosera sp.",2,3
"Nitzschia dissipata var. media",4,3
"Navicula capitatoradiata",3,2
"Nitzschia soratensis",1,3
"Gomphonema parvulum",2,1
"Encyonema silesiacum",5,2
"Eunotia pectinalis",5,2
"Nitzschia palea",1,3
"Cocconeis placentula",4,1
"Cymbella excisa",4,2
"Pleurosira laevis",NA,NA
"Hydrosera sp.",2,3
"Nitzschia dissipata var. media",4,3
"Gomphoneis minuta",3.8,3
"Amphora pediculus",4,1
"Nitzschia inconspicua",2.8,1
"Amphora ovalis",3,1
"Nitzschia fonticola",3.5,1
"Sellaphora minima",3,1
"Achnanthidium minutissimum",5,1
"Sellaphora minima",3,1
"Fistulifera saprophila",2,1
"Sellaphora seminulum",1.5,2
"Tabellaria flocculosa",5,1
"Cymbella excisa",4,2
"Eunotia minor",4.6,1
"Karayevia ploenensis var. gessneri",NA,NA
"Navicula cryptotenella",4,1
"Gomphonema parvulum",2,1
"Achnanthidium minutissimum",5,1
"Nitzschia cf. pusilla",NA,NA
"Fistulifera saprophila",2,1
"Eunotia pectinalis",5,2
"Fistulifera saprophila",2,1
"Nitzschia palea",1,3
"Cocconeis pediculus",4,2
"Achnanthidium minutissimum",5,1
"Navicula cryptotenelloides",3.5,1
"Mayamaea permitis",2.3,1
"Gomphonema pumilum",5,1
"Fistulifera saprophila",2,1
"Achnanthidium pyrenaicum",5,1
"Ulnaria acus",4,1
"Nitzschia dissipata var. media",4,3
"Fistulifera saprophila",2,1
"Sellaphora minima",3,1
"Cyclotella meneghiniana",2,1
"Achnanthidium minutissimum",5,1
"Navicula gregaria",3.4,1
"Nitzschia fonticola",3.5,1
"Nitzschia palea",1,3
"Fistulifera saprophila",2,1
"Nitzschia palea",1,3
"Sellaphora minima",3,1
"Amphora ovalis",3,1
"Nitzschia dissipata var. media",4,3
"Nitzschia sigmoidea",3,2
"Nitzschia fonticola",3.5,1
"Reimeria sinuata",4.8,1
"Achnanthidium minutissimum",5,1
"Navicula cryptotenella",4,1
"Gomphonema parvulum",2,1
"Discostella sp.",NA,NA
"Achnanthidium minutissimum",5,1
