"species","IPSS","IPSV"
"Terpsinoe musica",5,3
"Odontella aurita",2,2
"Pleurosira laevis",2,3
"Amphitetras antediluviana",2,3
"Trieres regia",2.5,2
"Trieres mobiliensis",2,3
"Cymatosira belgica",2,2
"Cymatosira lorenziana",2,2
"Campylosira cymbelliformis",2,2
"Conticribra weissflogii",2,2
"Thalassiosira gessneri",3,3
"Thalassiosira nordenskioeldii",2,3
"Thalassiosira mediterranea",2,2
"Skeletonema subsalsum",1.8,1
"Skeletonema potamos",3,2
"Skeletonema pseudocostatum",2.2,2
"Discostella pseudostelligera",4,1
"Discostella woltereckii",4,1
"Discostella stelligera",4.2,1
"Stephanodiscus hantzschii",1.8,1
"Stephanodiscus minutulus",4,1
"Stephanodiscus binderanus",4,1
"Stephanodiscus agassizensis",4,1
"Stephanodiscus neoastraea",2,2
"Cyclostephanos tholiformis",2,1
"Cyclostephanos invisitatus",2.6,1
"Cyclostephanos dubius",3,2
"Cyclotella striata",2,3
"Cyclotella atomus",2,1
"Cyclotella meneghiniana",2,1
"Cyclotella cryptica",2,1
"Cyclotella nana",3,1
"Cyclotella distinguenda",4,2
"Actinoptychus splendens",2,3
"Actinoptychus undulatus",2,3
"Coscinodiscus wailesii",2,3
"Paralia sulcata",2,2
"Melosira varians",4,1
"Melosira nummuloides",2,3
"Aulacoseira ambigua",3,1
"Ellerbeckia arenaria",5,3
"Leptocylindrus danicus",2,2
"Leptocylindrus minimus",2,2
"Geissleria decussis",4.8,2
"Placoneis elginensis",4,2
"Placoneis abiskoensis",5,3
"Placoneis constans",5,1
"Placoneis clementis",5,2
"Encyonema triangulum",3,3
"Encyonema silesiacum",5,2
"Encyonema prostratum",4,3
"Encyonema caespitosum",4,2
"Didymosphenia dentata",5,3
"Cymbella tumida",3,3
"Cymbella helvetica",5,3
"Cymbella lanceolata",4,2
"Cymbella cistula",4,3
"Cymbella aspera",4,3
"Cymbopleura naviculiformis",3.8,3
"Reimeria sinuata",4.8,1
"Gomphonema rosenstockianum",5,1
"Gomphonema micropus",3,1
"Gomphonema bourbonense",3.8,2
