,ACAL1,ACAL2,ACAL3,ALPC10,ALPC11,ALPC12,ALPC13,ALPC3,ALPC4,ALPC5,ALPC6,ALPC8,ALPC9,Aq1,Aq10,Aq12,Aq13,Aq14,Aq15,Aq16,Aq17,Aq18,Aq19,Aq2,Aq20,Aq21,Aq22,Aq23,Aq24,Aq25,Aq26,Aq27,Aq28,Aq29,Aq3,Aq30,Aq31,Aq32,Aq33,Aq34,Aq35,Aq36,Aq37,Aq38,Aq39,Aq4,Aq40,Aq41,Aq42,Aq5,Aq7,Aq8,Aq9,ARA1,ARA10,ARA11,ARA12,ARA13,ARA14,ARA15,ARA16,ARA17,ARA18,ARA19,ARA2,ARA20,ARA21,ARA22,ARA23,ARA24,ARA25,ARA26,ARA28,ARA29,ARA30,ARA31,ARA32,ARA4,ARA5,ARA6,ARA7,ARA8,ARA9,As1,As10,As2,As9,BFC10,BFC11,BFC12,BFC13,BFC14,BFC15,BFC16,BFC17,BFC18,BFC19,BFC2,BFC20,BFC21,BFC22,BFC23,BFC24,BFC25,BFC26,BFC27,BFC3,BFC6,BFC7,BFC8,BFC9,Br2,Br3,CVL1,CVL2,CVL3,CVL4,CVL5,CVL6,CVL7,CVL8,CVL9,LRMD1,LRMD10,LRMD11,LRMD2,LRMD3,LRMD4,LRMD5,LRMD6,LRMD7,LRMD8,LRMD9,PDL1,PDL2,S2,SA10,SA11,SA3,SA6,SA8,SA9
Otu000001,149,10,24637,6,0,54,0,8,941,23,2111,16390,0,9782,6018,232,15,80,16,987,395,1974,1622,541,95,210,508,1828,129,663,663,108,88,703,720,1895,1024,3019,10664,7350,3787,1488,639,14249,17021,3241,16065,7777,11176,6091,1699,2013,1971,232,182,0,3800,1196,320,3345,1514,4367,191,4760,0,4563,986,1251,1413,486,3563,2716,33,66,952,94,757,19,10,72,9,17,2217,8391,0,4155,858,310,162,8512,517,2280,65,29,5236,65,8,481,16,10,1418,130,1386,165,2197,69,75,357,232,71,1295,4656,11,2727,993,300,140,596,138,25,3,72,12,88,120,774,450,6,203,85,51,41,77,106,1160,11,299,176,30,0,1001,96
Otu000002,27,0,12349,2,0,29,0,0,310,0,891,8043,0,4998,3122,82,10,17,7,648,156,302,478,95,64,51,162,946,57,120,251,37,69,348,264,633,599,1599,5497,2778,1827,587,208,6961,8632,1745,6841,2312,5356,2990,845,757,281,78,61,2,1886,154,234,1094,804,2261,54,2364,0,2186,537,657,436,339,1749,1409,0,25,347,28,384,10,0,40,0,7,1466,4254,0,2077,492,81,45,2942,258,1073,33,8,2496,15,6,80,0,3,489,21,645,86,1168,50,27,77,45,30,648,1900,7,1042,643,228,62,88,37,11,7,20,10,23,68,411,149,0,77,87,34,7,32,79,225,9,36,34,0,8,461,70
Otu000003,4140,481,1116,1066,11,2,23,11,1472,3,44,44,11,4432,1311,554,12,6577,3894,40,46,91,497,283,55,64,3347,1746,2432,818,1747,645,905,1067,2375,726,300,480,441,111,399,221,0,647,87,7113,8,47,439,550,81,184,1388,3824,901,1736,52,543,648,239,687,168,264,279,30,152,1154,255,458,9,26,33,56,45,3203,74,578,48,103,29,455,1314,43,715,4,196,135,27,20,174,350,1866,8,16,16,15,0,942,13,20,1111,29611,61,64,52,168,388,200,915,9,22,387,73,70,37,33,90,99,579,291,203,123,288,226,40,140,826,13,15,505,2973,174,106,124,525,20,164,724,10,363,37,111
Otu000004,0,0,0,0,35,21,0,0,111,9,0,25,5,0,4773,0,56,16,0,6,54,63,358,110,25,27,241,1084,234,1011,2675,339,1035,0,3,0,18,12,22,474,440,169,38,93,206,65,58,168,178,183,257,1590,2994,17,12,4,32,59,88,43,122,130,0,8,172,115,23,117,10,13,120,12,69,530,4435,386,8372,930,101,695,0,0,14,78,2,554,5,2676,289,483,4080,41,789,638,697,2373,3268,5867,89,3074,1678,1206,1365,1870,522,60,205,612,984,1684,447,12,0,98,189,72,213,952,287,94,89,36,189,4660,148,20,42,0,3159,619,0,15,0,288,1552,285,2182,3361,0,27,5086,3756
Otu000005,38,8062,0,12836,0,0,4152,79,0,18025,4189,0,48,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,62,0,0,0,0,0,0,18,0,0,0,10,761,22,0,0,0,0,2,0,10,855,10,0,0,18,0,0,0,3616,0,33,0,0,0,0,0,0,16,0,22,6,5,0,0,0,0,17356,0,1194,0,0,0,76,0,0,0,0,0,0,0,0,2,0,0,0,0,38,26,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,30,2629,0,0,2474,0,0,57,2,15,0,54,0,0,0,128
Otu000006,67,360,3522,1600,0,5,4,10,0,4,11674,12,12,4,1456,0,5,0,0,0,13,0,18,33,18,391,18,31,36,121,3,9,0,1278,0,2413,2605,9861,6245,3467,1066,45,455,0,17,0,9,7,0,49,134,8,5,0,0,4,578,0,0,0,0,12,0,3,0,10,0,0,4,0,105,0,3503,3662,1981,1009,333,0,196,0,349,33,1337,6,0,0,234,41,0,0,431,3,0,0,52,0,4,12,0,0,14,130,3,43,0,0,0,3,0,0,6,4174,0,0,0,0,0,23,0,4,0,0,0,87,1561,186,1635,0,0,18,21,0,0,0,0,51,121,2921,0,0,47,493
Otu000007,0,0,2,0,0,0,0,19,74,0,0,53,0,0,0,3,10,12,0,0,0,0,3,0,0,0,2,0,0,0,6,6428,5416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,210,0,0,3,0,6,0,0,209,105,0,21,4,1216,29,6,0,0,0,0,0,0,0,0,8584,11569,10,0,0,0,0,0,2,113,730,68,0,12,53,16,1601,8507,4807,0,618,38,14544,0,0,0,0,12,0,0,19,0,305,28,4,2,0,9,0,0,74,2,122,1585,1957,0,0,0,0,0,484,0,0,0
Otu000008,0,0,0,0,3,0,0,0,4,0,3,0,4,0,2327,0,0,0,4,9,1416,205,124,60,647,0,0,52,0,0,0,0,0,0,0,0,19,16,19,1337,1183,1535,76,919,209,0,5,142,534,72,82,1001,665,0,0,0,0,11064,0,4,1150,788,111,191,0,1916,4166,13633,696,4363,3,0,0,14,89,25,149,0,7,0,0,0,0,8,3,8,0,69,0,0,56,0,0,0,536,5,5,0,0,0,0,20,0,0,0,7,0,0,30,0,0,0,0,247,128,28,60,44,46,3,14,0,0,0,10,0,0,0,0,21,0,0,0,84,291,18,125,212,0,0,0,35
Otu000009,2,4,44,0,0,0,0,0,0,0,0,2,0,8964,0,3715,0,0,6,0,0,0,7,5314,3,0,0,7,7,0,0,27,17,66,2963,384,157,87,123,257,115,137,8,1082,35,12,0,45,171,0,0,11,4,59,0,6,4,99,4030,2228,410,720,17,9493,0,5727,44,155,1111,319,1102,627,0,0,0,0,0,8,0,0,2,9,205,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,15,7,0,0,0,0,0,0,0,65,184,8,8,7,40,0,0,0,5,5,0,38,0,0,0,0,0,9,0,0,0,0,6,0,0,6,0,2
Otu000010,0,59,242,4,0,0,67,0,4,4,0,5,0,301,620,59,4,32,458,4,1479,95,33,1332,59,27,36,131,33,37,121,27,130,0,153,924,447,197,195,102,432,17,0,114,10,292,0,21,30,49,85,231,168,80,832,6779,0,26,1494,204,3112,660,5184,125,44,43,104,87,55,16,0,710,0,0,214,181,61,207,6,160,0,1290,335,19,6,61,11,58,30,69,518,3,55,109,12,75,61,333,0,29,115,11,544,60,459,93,23,38,61,82,145,2,0,288,260,381,472,280,279,195,436,141,0,1116,813,33,10118,0,221,17,5,0,0,829,142,3,114,294,0,0,62,21
