"","IPS-MICROTAXO","IPS-DNATAXO"
"ALPC10","4.78","3.68"
"ALPC11","4.89","4.92"
"ALPC12","4.47","4.64"
"ALPC13","4.59","2.68"
"ALPC3","3.89","3.06"
"ALPC4","4.95","4.47"
"ALPC5","4.97","3.6"
"ALPC6","4.79","3.78"
"ALPC8","4.28","3.92"
"ALPC9","4.85","4.06"
"Aq1","4.3","3.24"
"Aq10","2.84","3.36"
"Aq12","3.42","3.35"
"Aq13","4.99","4.4"
"Aq14","4.42","3.24"
"Aq15","4.44","3.44"
"Aq16","3.13","2.03"
"Aq17","3.47","3.24"
"Aq18","2.73","1.74"
"Aq19","3.39","3.03"
"Aq2","3.96","3.05"
"Aq20","2.57","2.33"
"Aq21","2.71","3.14"
"Aq22","3.21","2.5"
"Aq23","3.63","3.6"
"Aq24","3.14","3.51"
"Aq25","3.68","3.7"
"Aq26","3.79","3.64"
"Aq27","4.83","4.43"
"Aq28","4.71","4.64"
"Aq29","4.69","4.24"
"Aq3","4.28","3.77"
"Aq30","3.89","2.82"
"Aq31","3.81","3.13"
"Aq32","3.54","3.68"
"Aq33","4.11","3.92"
"Aq34","2.99","3.51"
"Aq35","2.84","2.95"
"Aq36","3.18","2.51"
"Aq37","3.51","3.06"
"Aq38","3.12","3.5"
"Aq39","2.93","3.89"
"Aq4","4.59","3.46"
"Aq40","3.1","3.97"
"Aq41","2.79","3.62"
"Aq42","2.86","3.61"
"Aq5","3.37","3.8"
"Aq7","3.15","3.38"
"Aq8","2.86","2.82"
"Aq9","3.03","3.07"
"ARA1","4.03","3.5"
"ARA10","4.71","3.83"
"ARA11","4.66","2.81"
"ARA12","4.2","3.73"
"ARA13","2.16","2.15"
"ARA14","4.04","3.66"
"ARA15","4.25","3.7"
"ARA16","2.93","2.57"
"ARA17","3.16","3.58"
"ARA18","4.74","3.82"
"ARA19","3.65","2.83"
"ARA2","4.78","4.14"
"ARA20","3.27","2.54"
"ARA21","2.24","2.38"
"ARA22","2.43","2.47"
"ARA23","3.22","2.79"
"ARA24","2.2","2.03"
"ARA25","4.37","3.77"
"ARA26","4.33","3.99"
"ARA28","3.98","3.86"
"ARA29","4.32","3.76"
"ARA30","4.06","3.63"
"ARA31","3.93","4.34"
"ARA32","3.8","4.09"
"ARA4","4.81","4.34"
"ARA5","4.26","3.7"
"ARA6","4.5","4.32"
"ARA7","4.82","3.23"
"ARA8","4.63","3.89"
"ARA9","4.52","3.93"
"As1","3.42","3.72"
"As10","4.12","2.58"
"As2","3.95","3.76"
"As9","4.09","3.91"
"BFC10","3.74","3.83"
"BFC11","4.66","4.13"
"BFC12","4.73","4.1"
"BFC13","3.81","3.84"
"BFC14","3.68","3.43"
"BFC15","3.61","3.57"
"BFC16","3.8","2.74"
"BFC17","3.13","3.14"
"BFC18","3.99","3.57"
"BFC19","4.39","3.75"
"BFC2","4.7","4.03"
"BFC20","4.62","4.08"
"BFC21","4.3","3.67"
"BFC22","4.56","3.75"
"BFC23","4.48","3.05"
"BFC24","4.2","3.56"
"BFC25","3.73","3.78"
"BFC26","4.62","3.53"
"BFC27","4.62","3.54"
"BFC3","4.82","4.26"
"BFC6","4.36","3.76"
"BFC7","3.95","3.23"
"BFC8","4.06","3.47"
"BFC9","4.83","4.33"
"Br2","4.22","3.67"
"Br3","4.92","4.95"
"CVL1","3.32","2.86"
"CVL2","3.76","2.99"
"CVL3","3.67","3.19"
"CVL4","4.2","3.31"
"CVL5","3.61","3.18"
"CVL6","3.67","2.94"
"CVL7","3.79","2.78"
"CVL8","3.93","3.2"
"CVL9","3.91","3.08"
"LRMD1","4.68","4.26"
"LRMD10","4.44","3.29"
"LRMD11","3.92","3.39"
"LRMD2","4.61","4.08"
"LRMD3","4.38","3.46"
"LRMD4","4.88","4.16"
"LRMD5","4.41","4.22"
"LRMD6","4.74","4.73"
"LRMD7","4.81","3.65"
"LRMD8","4.76","4.08"
"LRMD9","4.58","4.79"
"PDL1","3.75","3.55"
"PDL2","3.64","3.19"
"S2","2.35","2.52"
"SA10","3.9","3.85"
"SA11","3.87","3.66"
"SA3","5","4.85"
"SA6","4.82","4.56"
"SA8","3.99","4.18"
"SA9","3.98","3.86"
